"","x"
"humor",4
"husband",4
"impli",4
"influenc",4
"intermedi",4
"interv",4
"jame",4
"jeff",4
"jupit",4
"justin",4
"kendo",4
"kyle",4
"layout",4
"legal",4
"lift",4
"london",4
"look",4
"matrix",4
"matthia",4
"mckinsey",4
"metadata",4
"mistak",4
"mitchel",4
"modifi",4
"momentum",4
"motiv",4
"neoj",4
"netflix",4
"ngo",4
"nlu",4
"notifi",4
"nowaday",4
"oauth",4
"offen",4
"older",4
"orang",4
"overlook",4
"parallel",4
"patent",4
"pen",4
"plant",4
"plugin",4
"popular",4
"portfolio",4
"press",4
"pressur",4
"priyanka",4
"problemat",4
"processor",4
"professor",4
"programmat",4
"projector",4
"prototyp",4
"queue",4
"quota",4
"rare",4
"rectangl",4
"recurr",4
"refin",4
"regul",4
"regular",4
"remind",4
"repo",4
"reproduc",4
"rever",4
"root",4
"rough",4
"router",4
"sachi",4
"seat",4
"secret",4
"semant",4
"settl",4
"shown",4
"signif",4
"silicon",4
"sin",4
"smith",4
"snarki",4
"socrat",4
"span",4
"strang",4
"stream",4
"struck",4
"struggl",4
"stuck",4
"student",4
"symphoni",4
"tab",4
"takeaway",4
"talent",4
"telco",4
"tensor",4
"till",4
"token",4
"toolkit",4
"trade",4
"transact",4
"trial",4
"triangl",4
"troubl",4
"twilio",4
"twin",4
"typescript",4
"uber",4
"unfortun",4
"unlik",4
"vacat",4
"variat",4
"ver",4
"visitor",4
"vms",4
"water",4
"watson",4
"webpag",4
"white",4
"whose",4
"will",4
"william",4
"wit",4
"wpf",4
"youngji",4
"accid",3
"acquir",3
"advoc",3
"airport",3
"alloc",3
"alon",3
"altern",3
"amphitheat",3
"analyst",3
"anim",3
"anti",3
"apolog",3
"appar",3
"applianc",3
"arm",3
"aspen",3
"assembl",3
"associat",3
"assum",3
"attent",3
"auschwitz",3
"averag",3
"axi",3
"bachelor",3
"bake",3
"band",3
"bart",3
"baselin",3
"beam",3
"beat",3
"bedroom",3
"began",3
"bellevu",3
"bet",3
"blink",3
"blockbust",3
"blog",3
"boda",3
"border",3
"boundari",3
"bright",3
"broadway",3
"browser",3
"bubbl",3
"bug",3
"cach",3
"calcul",3
"campaign",3
"carlo",3
"carri",3
"cart",3
"certif",3
"chain",3
"charg",3
"chatdown",3
"chauhan",3
"checkbox",3
"checker",3
"chee",3
"chicago",3
"chief",3
"chine",3
"cindi",3
"cisco",3
"classroom",3
"cold",3
"colloquium",3
"comfort",3
"compel",3
"concentr",3
"conceptu",3
"conclud",3
"conflict",3
"constrain",3
"convolut",3
"corner",3
"corpora",3
"correspond",3
"crack",3
"creator",3
"currenc",3
"cxotalk",3
"darpa",3
"deliveri",3
"deriv",3
"desk",3
"differenti",3
"distinct",3
"doc",3
"door",3
"dotnet",3
"dremel",3
"drill",3
"drink",3
"due",3
"economi",3
"eleanor",3
"elf",3
"empathi",3
"encrypt",3
"enhanc",3
"entitl",3
"enum",3
"envi",3
"escap",3
"estim",3
"exerci",3
"exploit",3
"facial",3
"factori",3
"famous",3
"fashion",3
"felt",3
"filter",3
"finger",3
"flip",3
"float",3
"forza",3
"frank",3
"fred",3
"fresh",3
"fuse",3
"gap",3
"gate",3
"gcs",3
"gear",3
"gen",3
"generic",3
"generous",3
"gestur",3
"get",3
"gif",3
"govern",3
"grandkid",3
"granular",3
"grate",3
"greater",3
"gui",3
"guinea",3
"hack",3
"harvest",3
"hash",3
"hatch",3
"haystack",3
"hci",3
"hebrew",3
"hell",3
"heurist",3
"highest",3
"hub",3
"inaud",3
"inbound",3
"inher",3
"insist",3
"instant",3
"intend",3
"interop",3
"interrupt",3
"investor",3
